Etiquetas de fila,NOMBRE DE PRODUCTO,Semiterminado,Descripción Semi,ABC anterior,Mínimo Producción,Inventario Semiterminado,ABC,MTO/ MTS,Relación latas a cajas, Marzo , Abril , Mayo , Junio , Julio , Agosto , Septiembre , Octubre , Noviembre , Diciembre , Enero , Febrero , Marzo , Abril 
200092,SLICED JALAPEÑO PEPPERS 6/3KG EAMH,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",C,MTO,6, -   , -   , 259 , -   , -   , -   , 259 , -   , -   , 259 , -   , 293 , -   , -   
200093,RODAJAS JAL NACHOS SM 6/2.8 KG,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",B,MTS,6, 119 ," 1,052 ", 126 ," 1,079 "," 1,129 ", 94 , 148 , 199 , 151 ," 1,131 ", 200 , 142 , 119 ," 1,052 "
200095,NACHO JALAP PEPPERS 6/6LB 1 OZ AUMD,100023,Bote rodajas 2800,A," 38,400 "," 63,394 ",C,MTO,6, -   , -   , 100 , -   , 100 , -   , 100 , -   , 100 , -   , 100 , 100 , -   , -   
200013,SLICED JALAPEÑO PEPPERS EL PASADO 6/6LB,100024,Lata rodajas jalapeños bpa free 6lb 10 Oz,C," 38,400 "," 101,409 ",A,MTS,6," 5,328 "," 5,302 "," 5,328 "," 4,272 "," 5,760 "," 4,320 "," 5,904 "," 6,000 "," 12,288 "," 5,376 "," 2,784 "," 5,712 "," 5,760 "," 5,328 "
200047,RAJA JALAPENO VDE MLHR 24/215G CAML,100026,Bote rodajas 215 - Bajo en sodio,B," 216,000 "," 57,159 ",B,MTO,24," 2,600 "," 1,470 "," 1,470 ", 735 , 735 ," 1,470 "," 1,470 ", 735 , 735 , 735 , 735 , -   ," 2,600 "," 1,470 "
200058,JALAPEÑO ESCABEC SM 6/1.7 KG,100027,Bote rodajas 14 oz,C," 40,320 "," 24,811 ",B,MTS,12," 1,141 ", 411 , 367 , 492 , 545 , 157 , 568 ," 1,065 ", 654 , 556 , 447 , 410 ," 1,141 ", 411 
200051,NACHO JALAP PEPPERS 12/11 OZ,100028,Bote rodajas 380,B," 129,600 "," 2,469 ",B,MTO,12, 336 , 466 , 336 ," 2,856 "," 3,360 "," 3,024 "," 1,680 ", 504 , 840 , 840 , 672 , 188 , 504 , 504 
200072,NACHO JALAP PEPPERS CALIFORNIA 12/11 OZ,100028,Bote rodajas 380,B," 129,600 "," 2,469 ",C,MTO,12, 168 , 69 , 168 , 168 , 168 , -   , -   , -   , 168 , -   , -   , 168 , 168 , 168 
200088,RODAJA JALAP NACHO SM 24/380 G,100028,Bote rodajas 380,B," 129,600 "," 2,469 ",C,MTS,12, 739 , 111 , 117 , 158 , 182 , 124 , 192 , 169 , 205 , 267 , 469 , 32 , 739 , 111 
200055,NACHO SLICED JALAPEÑO SM 12/12OZ,100032,Frasco rodajas 12 oz,C," 33,600 "," 66,855 ",C,MTO,12, 432 , 288 , 432 , 432 , 432 , 432 , 432 , 576 ," 3,456 "," 2,016 ", -   , 144 , 432 , 432 
200043,RODAJA JALAP NACH SM 12/800 G CTWW,100033,Bote rodajas 800,B," 129,600 "," 89,089 ",C,MTO,12, 900 , -   , -   , -   , -   , 900 , -   , -   , -   , -   , -   , -   , 900 , -   
200054,RODAJAS DE JALAPEÑO 12/800 G ESRI,100033,Bote rodajas 800,B," 129,600 "," 89,089 ",C,MTO,12, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
200062,NACHO JALAP PEPPERS CALIFORNIA 12/26 OZ,100033,Bote rodajas 800,B," 129,600 "," 89,089 ",C,MTO,12," 1,350 ", 720 , 720 , 360 , 360 , 360 , 360 , 180 , 360 , 270 , 270 , -   , 360 ," 1,350 "
200079,RODAJA JALAP NACH SM 12/800 G,100033,Bote rodajas 800,B," 129,600 "," 89,089 ",C,MTS,12, 246 , 182 , 173 , 152 , 192 , 238 , 158 , 136 , 184 , 320 , 158 , 104 , 246 , 182 
